condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete
generation_s__agentic__gate,generation_s,agentic+gate,Input policy,5,6,6,0,0,1.0,1.0,0.6096657120978346,1.0
generation_s__agentic__gate,generation_s,agentic+gate,Retention policy,1,6,1,5,0,0.16666666666666666,0.16666666666666666,0.030053369748306635,0.5635028221864702
generation_s__agentic__gate,generation_s,agentic+gate,Parser robustness,1,6,0,6,0,0.0,0.0,2.7755575615628914e-17,0.3903342879021653
generation_s__agentic__gate,generation_s,agentic+gate,Resource stress,2,6,6,0,0,1.0,1.0,0.6096657120978346,1.0
generation_s__agentic__gate,generation_s,agentic+gate,Deserialization dispatch,1,6,0,6,0,0.0,0.0,2.7755575615628914e-17,0.3903342879021653
