parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
reuse_b,overview,oversizedPhysicalLine,Resource stress,4,5,0,4,5,0,0.0,equal
reuse_b,overview,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_b,overview,largePersistedRecordSet,Resource stress,3,3,2,1,1,4,,unresolved
reuse_b,requirements,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_b,requirements,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_b,requirements,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_b,requirements,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_b,requirements,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_b,requirements,boundsRetainedEntries,Retention policy,1,5,0,0,5,0,-0.2,decreased
reuse_b,requirements,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_b,requirements,oversizedPhysicalLine,Resource stress,4,5,0,1,5,0,-0.6000000000000001,decreased
reuse_b,requirements,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_b,requirements,largePersistedRecordSet,Resource stress,3,3,2,0,1,4,,unresolved
reuse_b,boundaries,rejectsNegativeScore,Input policy,5,5,0,5,5,0,0.0,equal
reuse_b,boundaries,rejectsNegativeTime,Input policy,5,5,0,5,5,0,0.0,equal
reuse_b,boundaries,rejectsNullName,Input policy,5,5,0,5,5,0,0.0,equal
reuse_b,boundaries,rejectsBlankName,Input policy,5,5,0,5,5,0,0.0,equal
reuse_b,boundaries,rejectsExcessiveName,Input policy,5,5,0,5,5,0,0.0,equal
reuse_b,boundaries,boundsRetainedEntries,Retention policy,1,5,0,1,5,0,0.0,equal
