round,arm,trajectories,calls,inputTokens,cachedInputTokens,outputTokens,reasoningTokens,callSeconds,trajectorySeconds
i29-v11,generation_s__agentic__none,5,39,3624915,0,57758,21955,610.429105,658.417064
i29-v11,generation_s__agentic__static-guard,5,75,4700836,0,80856,23565,714.7386079999999,941.711554
i29-v11,generation_s__agentic__static,5,41,4075738,0,49068,17399,566.466581,609.5876069999999
i29-v11,reuse_sb__agentic__none,5,38,5615641,0,54682,18979,618.6471119999999,655.6375089999999
i29-v11,reuse_sb__agentic__static-guard,5,76,7812807,0,84929,29702,784.856513,1016.4746140000001
i29-v11,reuse_sb__agentic__static,5,35,5679865,0,52221,20994,568.4052360000001,614.2353019999999
