runId,condition,submission,status,detail,requestSha256
i19-v9__generation_s__single_shot__static__r1,generation_s__single_shot__static,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,8e0e75ae790693f1b4cde14eb0451f9eea131442b18b213a5f3a9df2b3ed3ce9
i19-v9__reuse_sb__single_shot__static__r3,reuse_sb__single_shot__static,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,16ae3843c1698159fab24ae132138d9b0142d646c5be684f7307d20bf27265ac
i19-v9__reuse_sb__single_shot__static__r4,reuse_sb__single_shot__static,2,invalid_changes,ApoMarioPanel.java: old_text matches 0 times; provide one unique exact anchor,72ea32d8c3f315bd6c496b706d5d6ee591e4429ca9bb497f99f44eb7f158d462
i19-v9__generation_s__single_shot__static__r5,generation_s__single_shot__static,1,invalid_changes,ApoMarioLevel.java: old_text matches 0 times; provide one unique exact anchor,c03c79fe9053e9f89338df8d49b8baf3e65cbb3c2f2b541de0722e1e1b65fbe7
i19-v9__generation_s__single_shot__static__r5,generation_s__single_shot__static,2,invalid_changes,ApoMarioMenu.java: old_text matches 0 times; provide one unique exact anchor,c3eb53f7754379f13ad6b3d77000388dec009dc9c89b52f0c7ac02415213afd5
i19-v9__generation_s__single_shot__static__r5,generation_s__single_shot__static,4,invalid_changes,ApoMarioHighscore.java: old_text matches 0 times; provide one unique exact anchor,162e589fba71bc35654f6a92ce4f574b3c4d35ac013efaab4ecee4bcdb4b0c0c
