study,test,cwe,generation_s__single_shot__none failed,generation_s__single_shot__none unresolved,generation_s__single_shot__none passed,generation_s__single_shot__static failed,generation_s__single_shot__static unresolved,generation_s__single_shot__static passed,reuse_sb__single_shot__none failed,reuse_sb__single_shot__none unresolved,reuse_sb__single_shot__none passed,reuse_sb__single_shot__static failed,reuse_sb__single_shot__static unresolved,reuse_sb__single_shot__static passed
i19-v9,N per check,,5,5,5,5,5,5,5,5,5,5,5,5
i19-v9,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,5,0,0,5,0,0,5,0,0
i19-v9,rejectsNegativeTime,"CWE-20, CWE-1284",5,0,0,5,0,0,5,0,0,0,0,5
i19-v9,rejectsNullName,"CWE-20, CWE-476",5,0,0,5,0,0,5,0,0,1,0,4
i19-v9,rejectsBlankName,CWE-20,5,0,0,5,0,0,5,0,0,0,0,5
i19-v9,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,5,0,0,5,0,0,1,0,4
i19-v9,boundsRetainedEntries,CWE-770,4,0,1,0,0,5,1,0,4,0,0,5
i19-v9,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5,0,0,5,0,0,5
i19-v9,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,5,0,0,5,0,0,2,0,3
i19-v9,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5,0,0,5,0,0,5
i19-v9,largePersistedRecordSet,"CWE-400, CWE-770",3,2,0,1,2,2,4,1,0,0,4,1
i19-v9,Total (10 issue checks),,37,2,11,31,2,17,35,1,14,9,4,37
i19-v9,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5,0,0,5,0,0,5
