round,arm,n,source,compiled,functionalFirst,functional,inputPolicyClean,securityClean,fullHits,failed,passed,unresolved,toolTurnsMedian,reads,searches,submissions,injections,guardConsultations,guardPositive,guardInterventions,firstCompilingTurnMedian,compiledEver
a03e-guard,generation_s__agentic__static-guard,5,qualified-results.json,5,0,1,2,1,0,1,21,33,11,12,24,24,0,15,5,5,15.5,2
a03e-guard,reuse_sb__agentic__static-guard,5,qualified-results.json,5,0,3,1,1,1,5,39,11,14,9,25,24,0,19,5,5,10.5,4
