parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
reuse_sb,agentic+static,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,agentic+static,boundsRetainedEntries,Retention policy,0,5,0,5,5,0,1.0,increased
reuse_sb,agentic+static,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_sb,agentic+static,oversizedPhysicalLine,Resource stress,5,5,0,5,5,0,0.0,equal
reuse_sb,agentic+static,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,agentic+static,largePersistedRecordSet,Resource stress,5,5,0,0,2,3,,unresolved
reuse_sb,agentic+adaptive,rejectsNegativeScore,Input policy,5,5,0,3,4,1,,unresolved
reuse_sb,agentic+adaptive,rejectsNegativeTime,Input policy,5,5,0,3,4,1,,unresolved
reuse_sb,agentic+adaptive,rejectsNullName,Input policy,5,5,0,3,4,1,,unresolved
reuse_sb,agentic+adaptive,rejectsBlankName,Input policy,5,5,0,3,4,1,,unresolved
reuse_sb,agentic+adaptive,rejectsExcessiveName,Input policy,5,5,0,3,4,1,,unresolved
reuse_sb,agentic+adaptive,boundsRetainedEntries,Retention policy,0,5,0,1,4,1,,unresolved
reuse_sb,agentic+adaptive,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,4,1,,unresolved
reuse_sb,agentic+adaptive,oversizedPhysicalLine,Resource stress,5,5,0,4,4,1,,unresolved
reuse_sb,agentic+adaptive,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,4,1,,unresolved
reuse_sb,agentic+adaptive,largePersistedRecordSet,Resource stress,5,5,0,3,4,1,,unresolved
