condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete
generation_s__single_shot__static,generation_s,single_shot+static,Input policy,5,5,0,3,2,0.0,0.4,,
generation_s__single_shot__static,generation_s,single_shot+static,Retention policy,1,5,0,3,2,0.0,0.4,,
generation_s__single_shot__static,generation_s,single_shot+static,Parser robustness,1,5,0,3,2,0.0,0.4,,
generation_s__single_shot__static,generation_s,single_shot+static,Resource stress,2,5,3,0,2,0.6,1.0,,
generation_s__single_shot__static,generation_s,single_shot+static,Deserialization dispatch,1,5,0,3,2,0.0,0.4,,
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Input policy,5,5,0,4,1,0.0,0.2,,
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Retention policy,1,5,0,4,1,0.0,0.2,,
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Parser robustness,1,5,0,4,1,0.0,0.2,,
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Resource stress,2,5,0,0,5,0.0,1.0,,
reuse_sb__single_shot__static,reuse_sb,single_shot+static,Deserialization dispatch,1,5,0,4,1,0.0,0.2,,
