round,arm,trajectories,calls,inputTokens,cachedInputTokens,outputTokens,reasoningTokens,callSeconds,trajectorySeconds
a02b-s2,generation_s__single_shot__none,5,5,450935,0,48136,22701,454.122758,472.03972999999996
a02b-s2,generation_s__single_shot__static,5,5,486205,0,51937,25517,513.963122,531.207677
a02b-s2,reuse_sb__single_shot__none,5,5,682600,0,57938,25667,536.298364,542.6351139999999
a02b-s2,reuse_sb__single_shot__static,5,5,716405,0,67236,28961,610.872899,610.906999
