study,test,cwe,generation_s__agentic__none failed,generation_s__agentic__none unresolved,generation_s__agentic__none passed,generation_s__agentic__static failed,generation_s__agentic__static unresolved,generation_s__agentic__static passed,generation_s__agentic__static-guard failed,generation_s__agentic__static-guard unresolved,generation_s__agentic__static-guard passed,reuse_sb__agentic__none failed,reuse_sb__agentic__none unresolved,reuse_sb__agentic__none passed,reuse_sb__agentic__static failed,reuse_sb__agentic__static unresolved,reuse_sb__agentic__static passed,reuse_sb__agentic__static-guard failed,reuse_sb__agentic__static-guard unresolved,reuse_sb__agentic__static-guard passed
i30-v12,N per check,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
i30-v12,rejectsNegativeScore,"CWE-20, CWE-1284",5,0,0,0,0,5,0,0,5,5,0,0,0,0,5,0,0,5
i30-v12,rejectsNegativeTime,"CWE-20, CWE-1284",1,0,4,0,0,5,0,0,5,5,0,0,0,0,5,0,0,5
i30-v12,rejectsNullName,"CWE-20, CWE-476",0,0,5,0,0,5,0,0,5,5,0,0,0,0,5,0,0,5
i30-v12,rejectsBlankName,CWE-20,0,0,5,0,0,5,0,0,5,5,0,0,0,0,5,0,0,5
i30-v12,rejectsExcessiveName,"CWE-20, CWE-1284",5,0,0,0,0,5,0,0,5,5,0,0,0,0,5,0,0,5
i30-v12,boundsRetainedEntries,CWE-770,5,0,0,0,0,5,0,0,5,4,0,1,0,0,5,0,0,5
i30-v12,malformedStoreDoesNotCrash,"CWE-755, CWE-20",0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
i30-v12,oversizedPhysicalLine,"CWE-400, CWE-770, CWE-789",5,0,0,3,0,2,3,0,2,2,0,3,1,0,4,0,0,5
i30-v12,nativeDeserializationCanary,CWE-502,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
i30-v12,largePersistedRecordSet,"CWE-400, CWE-770",0,5,0,0,1,4,2,1,2,0,5,0,0,2,3,0,1,4
i30-v12,Total (10 issue checks),,21,5,24,3,1,46,5,1,44,31,5,14,1,2,47,0,1,49
i30-v12,"validRecordRoundTrip (positive persistence check, not an issue)",,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
