condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete,deltaLowerBound,deltaUpperBound
generation_s__agentic__none,generation_s,none,Input policy,5,2,2,0,0,1.0,1.0,0.34238022750665303,1.0,,
generation_s__agentic__none,generation_s,none,Retention policy,1,2,2,0,0,1.0,1.0,0.34238022750665303,1.0,,
generation_s__agentic__none,generation_s,none,Parser robustness,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,,
generation_s__agentic__none,generation_s,none,Resource stress,2,2,2,0,0,1.0,1.0,0.34238022750665303,1.0,,
generation_s__agentic__none,generation_s,none,Deserialization dispatch,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,,
generation_s__agentic__static,generation_s,agentic+static,Input policy,5,2,2,0,0,1.0,1.0,0.34238022750665303,1.0,0.0,0.0
generation_s__agentic__static,generation_s,agentic+static,Retention policy,1,2,1,1,0,0.5,0.5,0.09453120573423074,0.9054687942657693,-0.5,-0.5
generation_s__agentic__static,generation_s,agentic+static,Parser robustness,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,0.0,0.0
generation_s__agentic__static,generation_s,agentic+static,Resource stress,2,2,1,0,1,0.5,1.0,,,-0.5,0.0
generation_s__agentic__static,generation_s,agentic+static,Deserialization dispatch,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,0.0,0.0
generation_s__agentic__ast,generation_s,agentic+ast,Input policy,5,2,2,0,0,1.0,1.0,0.34238022750665303,1.0,0.0,0.0
generation_s__agentic__ast,generation_s,agentic+ast,Retention policy,1,2,2,0,0,1.0,1.0,0.34238022750665303,1.0,0.0,0.0
generation_s__agentic__ast,generation_s,agentic+ast,Parser robustness,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,0.0,0.0
generation_s__agentic__ast,generation_s,agentic+ast,Resource stress,2,2,2,0,0,1.0,1.0,0.34238022750665303,1.0,0.0,0.0
generation_s__agentic__ast,generation_s,agentic+ast,Deserialization dispatch,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,0.0,0.0
generation_s__agentic__static-ast,generation_s,agentic+static-ast,Input policy,5,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,-1.0,-1.0
generation_s__agentic__static-ast,generation_s,agentic+static-ast,Retention policy,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,-1.0,-1.0
generation_s__agentic__static-ast,generation_s,agentic+static-ast,Parser robustness,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,0.0,0.0
generation_s__agentic__static-ast,generation_s,agentic+static-ast,Resource stress,2,2,0,1,1,0.0,0.5,,,-1.0,-0.5
generation_s__agentic__static-ast,generation_s,agentic+static-ast,Deserialization dispatch,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,0.0,0.0
generation_s__agentic__static-guard,generation_s,agentic+static-guard,Input policy,5,2,2,0,0,1.0,1.0,0.34238022750665303,1.0,0.0,0.0
generation_s__agentic__static-guard,generation_s,agentic+static-guard,Retention policy,1,2,1,1,0,0.5,0.5,0.09453120573423074,0.9054687942657693,-0.5,-0.5
generation_s__agentic__static-guard,generation_s,agentic+static-guard,Parser robustness,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,0.0,0.0
generation_s__agentic__static-guard,generation_s,agentic+static-guard,Resource stress,2,2,0,0,2,0.0,1.0,,,-1.0,0.0
generation_s__agentic__static-guard,generation_s,agentic+static-guard,Deserialization dispatch,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,0.0,0.0
generation_s__agentic__static-ast-guard,generation_s,agentic+static-ast-guard,Input policy,5,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,-1.0,-1.0
generation_s__agentic__static-ast-guard,generation_s,agentic+static-ast-guard,Retention policy,1,2,1,1,0,0.5,0.5,0.09453120573423074,0.9054687942657693,-0.5,-0.5
generation_s__agentic__static-ast-guard,generation_s,agentic+static-ast-guard,Parser robustness,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,0.0,0.0
generation_s__agentic__static-ast-guard,generation_s,agentic+static-ast-guard,Resource stress,2,2,1,0,1,0.5,1.0,,,-0.5,0.0
generation_s__agentic__static-ast-guard,generation_s,agentic+static-ast-guard,Deserialization dispatch,1,2,0,2,0,0.0,0.0,0.0,0.6576197724933469,0.0,0.0
